"tactic","type","technique","subtechnique","id","url","description"
"Defense Evasion","subtechnique","Process Injection","Extra Window Memory Injection","T1055.011","https://attack.mitre.org/techniques/T1055/011","Adversaries may inject malicious code into process via Extra Window Memory (EWM) in order to evade process-based defenses as well as possibly elevate privileges. EWM injection is a method of executing arbitrary code in the address space of a separate live process."
"Defense Evasion","subtechnique","Process Injection","Process Hollowing","T1055.012","https://attack.mitre.org/techniques/T1055/012","Adversaries may inject malicious code into suspended and hollowed processes in order to evade process-based defenses. Process hollowing is a method of executing arbitrary code in the address space of a separate live process."
"Defense Evasion","subtechnique","Process Injection","Process Doppelgänging","T1055.013","https://attack.mitre.org/techniques/T1055/013","Adversaries may inject malicious code into process via process doppelgänging in order to evade process-based defenses as well as possibly elevate privileges. Process doppelgänging is a method of executing arbitrary code in the address space of a separate live process."
"Defense Evasion","subtechnique","Process Injection","VDSO Hijacking","T1055.014","https://attack.mitre.org/techniques/T1055/014","Adversaries may inject malicious code into processes via VDSO hijacking in order to evade process-based defenses as well as possibly elevate privileges. Virtual dynamic shared object (vdso) hijacking is a method of executing arbitrary code in the address space of a separate live process."
"Defense Evasion","technique","Rogue Domain Controller",,"T1207","https://attack.mitre.org/techniques/T1207","Adversaries may register a rogue Domain Controller to enable manipulation of Active Directory data. DCShadow may be used to create a rogue Domain Controller (DC). DCShadow is a method of manipulating Active Directory (AD) data, including objects and schemas, by registering (or reusing an inactive registration) and simulating the behavior of a DC. Once registered, a rogue DC may be able to inject and replicate changes into AD infrastructure for any domain object, including credentials and keys."
"Defense Evasion","technique","Rootkit",,"T1014","https://attack.mitre.org/techniques/T1014","Adversaries may use rootkits to hide the presence of programs, files, network connections, services, drivers, and other system components. Rootkits are programs that hide the existence of malware by intercepting/hooking and modifying operating system API calls that supply system information. "
"Defense Evasion","technique","Signed Binary Proxy Execution",,"T1218","https://attack.mitre.org/techniques/T1218","Adversaries may bypass process and/or signature-based defenses by proxying execution of malicious content with signed binaries. Binaries signed with trusted digital certificates can execute on Windows systems protected by digital signature validation. Several Microsoft signed binaries that are default on Windows installations can be used to proxy execution of other files."
"Defense Evasion","subtechnique","Signed Binary Proxy Execution","Compiled HTML File","T1218.001","https://attack.mitre.org/techniques/T1218/001","Adversaries may abuse Compiled HTML files (.chm) to conceal malicious code. CHM files are commonly distributed as part of the Microsoft HTML Help system. CHM files are compressed compilations of various content such as HTML documents, images, and scripting/web related programming languages such VBA, JScript, Java, and ActiveX. CHM content is displayed using underlying components of the Internet Explorer browser loaded by the HTML Help executable program (hh.exe)."
"Defense Evasion","subtechnique","Signed Binary Proxy Execution","Control Panel","T1218.002","https://attack.mitre.org/techniques/T1218/002","Adversaries may abuse control.exe to proxy execution of malicious payloads. The Windows Control Panel process binary (control.exe) handles execution of Control Panel items, which are utilities that allow users to view and adjust computer settings. Control Panel items are registered executable (.exe) or Control Panel (.cpl) files, the latter are actually renamed dynamic-link library (.dll) files that export a CPlApplet function. Control Panel items can be executed directly from the command line, programmatically via an application programming interface (API) call, or by simply double-clicking the file."
"Defense Evasion","subtechnique","Signed Binary Proxy Execution","CMSTP","T1218.003","https://attack.mitre.org/techniques/T1218/003","Adversaries may abuse CMSTP to proxy execution of malicious code. The Microsoft Connection Manager Profile Installer (CMSTP.exe) is a command-line program used to install Connection Manager service profiles. CMSTP.exe accepts an installation information file (INF) as a parameter and installs a service profile leveraged for remote access connections."
"Defense Evasion","subtechnique","Signed Binary Proxy Execution","InstallUtil","T1218.004","https://attack.mitre.org/techniques/T1218/004","Adversaries may use InstallUtil to proxy execution of code through a trusted Windows utility. InstallUtil is a command-line utility that allows for installation and uninstallation of resources by executing specific installer components specified in .NET binaries. InstallUtil is digitally signed by Microsoft and located in the .NET directories on a Windows system: C:\Windows\Microsoft.NET\Framework\v\InstallUtil.exe and C:\Windows\Microsoft.NET\Framework64\v\InstallUtil.exe."
"Defense Evasion","subtechnique","Signed Binary Proxy Execution","Mshta","T1218.005","https://attack.mitre.org/techniques/T1218/005","Adversaries may abuse mshta.exe to proxy execution of malicious .hta files and Javascript or VBScript through a trusted Windows utility. There are several examples of different types of threats leveraging mshta.exe during initial compromise and for execution of code"
"Defense Evasion","subtechnique","Signed Binary Proxy Execution","Msiexec","T1218.007","https://attack.mitre.org/techniques/T1218/007","Adversaries may abuse msiexec.exe to proxy execution of malicious payloads. Msiexec.exe is the command-line utility for the Windows Installer and is thus commonly associated with executing installation packages (.msi). Msiexec.exe is digitally signed by Microsoft."
"Defense Evasion","subtechnique","Signed Binary Proxy Execution","Odbcconf","T1218.008","https://attack.mitre.org/techniques/T1218/008","Adversaries may abuse odbcconf.exe to proxy execution of malicious payloads. Odbcconf.exe is a Windows utility that allows you to configure Open Database Connectivity (ODBC) drivers and data source names. Odbcconf.exe is digitally signed by Microsoft."
"Defense Evasion","subtechnique","Signed Binary Proxy Execution","Regsvcs/Regasm","T1218.009","https://attack.mitre.org/techniques/T1218/009","Adversaries may abuse Regsvcs and Regasm to proxy execution of code through a trusted Windows utility. Regsvcs and Regasm are Windows command-line utilities that are used to register .NET Component Object Model (COM) assemblies. Both are digitally signed by Microsoft."
"Defense Evasion","subtechnique","Signed Binary Proxy Execution","Regsvr32","T1218.010","https://attack.mitre.org/techniques/T1218/010","Adversaries may abuse Regsvr32.exe to proxy execution of malicious code. Regsvr32.exe is a command-line program used to register and unregister object linking and embedding controls, including dynamic link libraries (DLLs), on Windows systems. Regsvr32.exe is also a Microsoft signed binary."
"Defense Evasion","subtechnique","Signed Binary Proxy Execution","Rundll32","T1218.011","https://attack.mitre.org/techniques/T1218/011","Adversaries may abuse rundll32.exe to proxy execution of malicious code. Using rundll32.exe, vice executing directly (i.e. Shared Modules), may avoid triggering security tools that may not monitor execution of the rundll32.exe process because of allowlists or false positives from normal operations. Rundll32.exe is commonly associated with executing DLL payloads."
"Defense Evasion","technique","Signed Script Proxy Execution",,"T1216","https://attack.mitre.org/techniques/T1216","Adversaries may use scripts signed with trusted certificates to proxy execution of malicious files. Several Microsoft signed scripts that are default on Windows installations can be used to proxy execution of other files. This behavior may be abused by adversaries to execute malicious files that could bypass application control and signature validation on systems."
"Defense Evasion","subtechnique","Signed Script Proxy Execution","PubPrn","T1216.001","https://attack.mitre.org/techniques/T1216/001","Adversaries may use the trusted PubPrn script to proxy execution of malicious files. This behavior may bypass signature validation restrictions and application control solutions that do not account for use of these scripts."
"Defense Evasion","technique","Subvert Trust Controls",,"T1553","https://attack.mitre.org/techniques/T1553","Adversaries may undermine security controls that will either warn users of untrusted activity or prevent execution of untrusted programs. Operating systems and security products may contain mechanisms to identify programs or websites as possessing some level of trust. Examples of such features would include a program being allowed to run because it is signed by a valid code signing certificate, a program prompting the user with a warning because it has an attribute set from being downloaded from the Internet, or getting an indication that you are about to connect to an untrusted site."
"Defense Evasion","subtechnique","Subvert Trust Controls","Gatekeeper Bypass","T1553.001","https://attack.mitre.org/techniques/T1553/001","Adversaries may modify file attributes that signify programs are from untrusted sources to subvert Gatekeeper controls. In macOS and OS X, when applications or programs are downloaded from the internet, there is a special attribute set on the file called com.apple.quarantine. This attribute is read by Apple's Gatekeeper defense program at execution time and provides a prompt to the user to allow or deny execution."
"Defense Evasion","subtechnique","Subvert Trust Controls","Code Signing","T1553.002","https://attack.mitre.org/techniques/T1553/002","Adversaries may create, acquire, or steal code signing materials to sign their malware or tools. Code signing provides a level of authenticity on a binary from the developer and a guarantee that the binary has not been tampered with. The certificates used during an operation may be created, acquired, or stolen by the adversary. Unlike Invalid Code Signature, this activity will result in a valid signature."
"Defense Evasion","subtechnique","Subvert Trust Controls","SIP and Trust Provider Hijacking","T1553.003","https://attack.mitre.org/techniques/T1553/003","Adversaries may tamper with SIP and trust provider components to mislead the operating system and application control tools when conducting signature validation checks. In user mode, Windows Authenticode digital signatures are used to verify a file's origin and integrity, variables that may be used to establish trust in signed code (ex: a driver with a valid Microsoft signature may be handled as safe). The signature validation process is handled via the WinVerifyTrust application programming interface (API) function, which accepts an inquiry and coordinates with the appropriate trust provider, which is responsible for validating parameters of a signature."
"Defense Evasion","subtechnique","Subvert Trust Controls","Install Root Certificate","T1553.004","https://attack.mitre.org/techniques/T1553/004","Adversaries may install a root certificate on a compromised system to avoid warnings when connecting to adversary controlled web servers. Root certificates are used in public key cryptography to identify a root certificate authority (CA). When a root certificate is installed, the system or application will trust certificates in the root's chain of trust that have been signed by the root certificate. Certificates are commonly used for establishing secure TLS/SSL communications within a web browser. When a user attempts to browse a website that presents a certificate that is not trusted an error message will be displayed to warn the user of the security risk. Depending on the security settings, the browser may not allow the user to establish a connection to the website."
"Defense Evasion","technique","Template Injection",,"T1221","https://attack.mitre.org/techniques/T1221","Adversaries may create or modify references in Office document templates to conceal malicious code or force authentication attempts. Microsoft’s Office Open XML (OOXML) specification defines an XML-based format for Office documents (.docx, xlsx, .pptx) to replace older binary formats (.doc, .xls, .ppt). OOXML files are packed together ZIP archives compromised of various XML files, referred to as parts, containing properties that collectively define how a document is rendered. "
"Defense Evasion","technique","Traffic Signaling",,"T1205","https://attack.mitre.org/techniques/T1205","Adversaries may use traffic signaling to hide open ports or other malicious functionality used for persistence or command and control. Traffic signaling involves the use of a magic value or sequence that must be sent to a system to trigger a special response, such as opening a closed port or executing a malicious task. This may take the form of sending a series of packets with certain characteristics before a port will be opened that the adversary can use for command and control. Usually this series of packets consists of attempted connections to a predefined sequence of closed ports (i.e. Port Knocking), but can involve unusual flags, specific strings, or other unique characteristics. After the sequence is completed, opening a port may be accomplished by the host-based firewall, but could also be implemented by custom software."
"Defense Evasion","subtechnique","Traffic Signaling","Port Knocking","T1205.001","https://attack.mitre.org/techniques/T1205/001","Adversaries may use port knocking to hide open ports used for persistence or command and control. To enable a port, an adversary sends a series of attempted connections to a predefined sequence of closed ports. After the sequence is completed, opening a port is often accomplished by the host based firewall, but could also be implemented by custom software."
"Defense Evasion","technique","Trusted Developer Utilities Proxy Execution",,"T1127","https://attack.mitre.org/techniques/T1127","Adversaries may take advantage of trusted developer utilities to proxy execution of malicious payloads. There are many utilities used for software development related tasks that can be used to execute code in various forms to assist in development, debugging, and reverse engineering. These utilities may often be signed with legitimate certificates that allow them to execute on a system and proxy execution of malicious code through a trusted process that effectively bypasses application control solutions."
"Defense Evasion","subtechnique","Trusted Developer Utilities Proxy Execution","MSBuild","T1127.001","https://attack.mitre.org/techniques/T1127/001","Adversaries may use MSBuild to proxy execution of code through a trusted Windows utility. MSBuild.exe (Microsoft Build Engine) is a software build platform used by Visual Studio. It handles XML formatted project files that define requirements for loading and building various platforms and configurations."
"Defense Evasion","technique","Unused/Unsupported Cloud Regions",,"T1535","https://attack.mitre.org/techniques/T1535","Adversaries may create cloud instances in unused geographic service regions in order to evade detection. Access is usually obtained through compromising accounts used to manage cloud infrastructure."
"Defense Evasion","technique","Use Alternate Authentication Material",,"T1550","https://attack.mitre.org/techniques/T1550","Adversaries may use alternate authentication material, such as password hashes, Kerberos tickets, and application access tokens, in order to move laterally within an environment and bypass normal system access controls."
"Defense Evasion","subtechnique","Use Alternate Authentication Material","Application Access Token","T1550.001","https://attack.mitre.org/techniques/T1550/001","Adversaries may use stolen application access tokens to bypass the typical authentication process and access restricted accounts, information, or services on remote systems. These tokens are typically stolen from users and used in lieu of login credentials."
"Defense Evasion","subtechnique","Use Alternate Authentication Material","Pass the Hash","T1550.002","https://attack.mitre.org/techniques/T1550/002","Adversaries may ""pass the hash"" using stolen password hashes to move laterally within an environment, bypassing normal system access controls. Pass the hash (PtH) is a method of authenticating as a user without having access to the user's cleartext password. This method bypasses standard authentication steps that require a cleartext password, moving directly into the portion of the authentication that uses the password hash. In this technique, valid password hashes for the account being used are captured using a Credential Access technique. Captured hashes are used with PtH to authenticate as that user. Once authenticated, PtH may be used to perform actions on local or remote systems."
"Defense Evasion","subtechnique","Use Alternate Authentication Material","Pass the Ticket","T1550.003","https://attack.mitre.org/techniques/T1550/003","Adversaries may ""pass the ticket"" using stolen Kerberos tickets to move laterally within an environment, bypassing normal system access controls. Pass the ticket (PtT) is a method of authenticating to a system using Kerberos tickets without having access to an account's password. Kerberos authentication can be used as the first step to lateral movement to a remote system."
"Defense Evasion","subtechnique","Use Alternate Authentication Material","Web Session Cookie","T1550.004","https://attack.mitre.org/techniques/T1550/004","Adversaries can use stolen session cookies to authenticate to web applications and services. This technique bypasses some multi-factor authentication protocols since the session is already authenticated."
"Defense Evasion","technique","Valid Accounts",,"T1078","https://attack.mitre.org/techniques/T1078","Adversaries may obtain and abuse credentials of existing accounts as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion. Compromised credentials may be used to bypass access controls placed on various resources on systems within the network and may even be used for persistent access to remote systems and externally available services, such as VPNs, Outlook Web Access and remote desktop. Compromised credentials may also grant an adversary increased privilege to specific systems or access to restricted areas of the network. Adversaries may choose not to use malware or tools in conjunction with the legitimate access those credentials provide to make it harder to detect their presence."
"Defense Evasion","subtechnique","Valid Accounts","Default Accounts","T1078.001","https://attack.mitre.org/techniques/T1078/001","Adversaries may obtain and abuse credentials of a default account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion. Default accounts are those that are built-into an OS, such as the Guest or Administrator accounts on Windows systems or default factory/provider set accounts on other types of systems, software, or devices."
"Defense Evasion","subtechnique","Valid Accounts","Domain Accounts","T1078.002","https://attack.mitre.org/techniques/T1078/002","Adversaries may obtain and abuse credentials of a domain account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion. Domain accounts are those managed by Active Directory Domain Services where access and permissions are configured across systems and services that are part of that domain. Domain accounts can cover users, administrators, and services."
"Defense Evasion","subtechnique","Valid Accounts","Local Accounts","T1078.003","https://attack.mitre.org/techniques/T1078/003","Adversaries may obtain and abuse credentials of a local account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion. Local accounts are those configured by an organization for use by users, remote support, services, or for administration on a single system or service."
"Defense Evasion","subtechnique","Valid Accounts","Cloud Accounts","T1078.004","https://attack.mitre.org/techniques/T1078/004","Adversaries may obtain and abuse credentials of a cloud account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion. Cloud accounts are those created and configured by an organization for use by users, remote support, services, or for administration of resources within a cloud service provider or SaaS application. In some cases, cloud accounts may be federated with traditional identity management system, such as Window Active Directory."
"Defense Evasion","technique","Virtualization/Sandbox Evasion",,"T1497","https://attack.mitre.org/techniques/T1497","Adversaries may employ various means to detect and avoid virtualization and analysis environments. This may include changing behaviors based on the results of checks for the presence of artifacts indicative of a virtual machine environment (VME) or sandbox. If the adversary detects a VME, they may alter their malware to disengage from the victim or conceal the core functions of the implant. They may also search for VME artifacts before dropping secondary or additional payloads. Adversaries may use the information learned from Virtualization/Sandbox Evasion during automated discovery to shape follow-on behaviors."
"Defense Evasion","subtechnique","Virtualization/Sandbox Evasion","System Checks","T1497.001","https://attack.mitre.org/techniques/T1497/001","Adversaries may employ various system checks to detect and avoid virtualization and analysis environments. This may include changing behaviors based on the results of checks for the presence of artifacts indicative of a virtual machine environment (VME) or sandbox. If the adversary detects a VME, they may alter their malware to disengage from the victim or conceal the core functions of the implant. They may also search for VME artifacts before dropping secondary or additional payloads. Adversaries may use the information learned from Virtualization/Sandbox Evasion during automated discovery to shape follow-on behaviors."
"Defense Evasion","subtechnique","Virtualization/Sandbox Evasion","User Activity Based Checks","T1497.002","https://attack.mitre.org/techniques/T1497/002","Adversaries may employ various user activity checks to detect and avoid virtualization and analysis environments. This may include changing behaviors based on the results of checks for the presence of artifacts indicative of a virtual machine environment (VME) or sandbox. If the adversary detects a VME, they may alter their malware to disengage from the victim or conceal the core functions of the implant. They may also search for VME artifacts before dropping secondary or additional payloads. Adversaries may use the information learned from Virtualization/Sandbox Evasion during automated discovery to shape follow-on behaviors."
"Defense Evasion","subtechnique","Virtualization/Sandbox Evasion","Time Based Evasion","T1497.003","https://attack.mitre.org/techniques/T1497/003","Adversaries may employ various time-based methods to detect and avoid virtualization and analysis environments. This may include timers or other triggers to avoid a virtual machine environment (VME) or sandbox, specifically those that are automated or only operate for a limited amount of time/"
"Defense Evasion","technique","XSL Script Processing",,"T1220","https://attack.mitre.org/techniques/T1220","Adversaries may bypass application control and obscure execution of code by embedding scripts inside XSL files. Extensible Stylesheet Language (XSL) files are commonly used to describe the processing and rendering of data within XML files. To support complex operations, the XSL standard includes support for embedded scripting in various languages. "
"Credential Access","tactic",,,"TA006","https://attack.mitre.org/tactics/TA0006/","The adversary is trying to steal account names and passwords. Credential Access consists of techniques for stealing credentials like account names and passwords. Techniques used to get credentials include keylogging or credential dumping. Using legitimate credentials can give adversaries access to systems, make them harder to detect, and provide the opportunity to create more accounts to help achieve their goals."
"Credential Access","technique","Brute Force",,"T1110","https://attack.mitre.org/techniques/T1110","Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained. Without knowledge of the password for an account or set of accounts, an adversary may systematically guess the password using a repetitive or iterative mechanism. Brute forcing passwords can take place via interaction with a service that will check the validity of those credentials or offline against previously acquired credential data, such as password hashes."
"Credential Access","subtechnique","Brute Force","Password Guessing","T1110.001","https://attack.mitre.org/techniques/T1110/001","Adversaries with no prior knowledge of legitimate credentials within the system or environment may guess passwords to attempt access to accounts. Without knowledge of the password for an account, an adversary may opt to systematically guess the password using a repetitive or iterative mechanism. An adversary may guess login credentials without prior knowledge of system or environment passwords during an operation by using a list of common passwords. Password guessing may or may not take into account the target's policies on password complexity or use policies that may lock accounts out after a number of failed attempts."
"Credential Access","subtechnique","Brute Force","Password Cracking","T1110.002","https://attack.mitre.org/techniques/T1110/002","Adversaries may use password cracking to attempt to recover usable credentials, such as plaintext passwords, when credential material such as password hashes are obtained. OS Credential Dumping is used to obtain password hashes, this may only get an adversary so far when Pass the Hash is not an option. Techniques to systematically guess the passwords used to compute hashes are available, or the adversary may use a pre-computed rainbow table to crack hashes. Cracking hashes is usually done on adversary-controlled systems outside of the target network. The resulting plaintext password resulting from a successfully cracked hash may be used to log into systems, resources, and services in which the account has access."
"Credential Access","subtechnique","Brute Force","Password Spraying","T1110.003","https://attack.mitre.org/techniques/T1110/003","Adversaries may use a single or small list of commonly used passwords against many different accounts to attempt to acquire valid account credentials. Password spraying uses one password (e.g. 'Password01'), or a small list of commonly used passwords, that may match the complexity policy of the domain. Logins are attempted with that password against many different accounts on a network to avoid account lockouts that would normally occur when brute forcing a single account with many passwords."
"Credential Access","subtechnique","Brute Force","Credential Stuffing","T1110.004","https://attack.mitre.org/techniques/T1110/004","Adversaries may use credentials obtained from breach dumps of unrelated accounts to gain access to target accounts through credential overlap. Occasionally, large numbers of username and password pairs are dumped online when a website or service is compromised and the user account credentials accessed. The information may be useful to an adversary attempting to compromise accounts by taking advantage of the tendency for users to use the same passwords across personal and business accounts."
"Credential Access","technique","Credentials from Password Stores",,"T1555","https://attack.mitre.org/techniques/T1555","Adversaries may search for common password storage locations to obtain user credentials. Passwords are stored in several places on a system, depending on the operating system or application holding the credentials. There are also specific applications that store passwords to make it easier for users manage and maintain. Once credentials are obtained, they can be used to perform lateral movement and access restricted information."
"Credential Access","technique","Credentials from Password Stores","Keychain","T1555.001","https://attack.mitre.org/techniques/T1555/001","Adversaries may collect the keychain storage data from a system to acquire credentials. Keychains are the built-in way for macOS to keep track of users' passwords and credentials for many services and features such as WiFi passwords, websites, secure notes, certificates, and Kerberos. Keychain files are located in ~/Library/Keychains/,/Library/Keychains/, and /Network/Library/Keychains/. The security command-line utility, which is built into macOS by default, provides a useful way to manage these credentials."
"Credential Access","subtechnique","Credentials from Password Stores","Securityd Memory","T1555.002","https://attack.mitre.org/techniques/T1555/002","An adversary may obtain root access (allowing them to read securityd’s memory), then they can scan through memory to find the correct sequence of keys in relatively few tries to decrypt the user’s logon keychain. This provides the adversary with all the plaintext passwords for users, WiFi, mail, browsers, certificates, secure notes, etc."
"Credential Access","subtechnique","Credentials from Password Stores","Credentials from Web Browsers","T1555.003","https://attack.mitre.org/techniques/T1555/003","Adversaries may acquire credentials from web browsers by reading files specific to the target browser. Web browsers commonly save credentials such as website usernames and passwords so that they do not need to be entered manually in the future. Web browsers typically store the credentials in an encrypted format within a credential store; however, methods exist to extract plaintext credentials from web browsers."
"Credential Access","technique","Exploitation for Credential Access",,"T1212","https://attack.mitre.org/techniques/T1212","Adversaries may exploit software vulnerabilities in an attempt to collect credentials. Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program, service, or within the operating system software or kernel itself to execute adversary-controlled code. Credentialing and authentication mechanisms may be targeted for exploitation by adversaries as a means to gain access to useful credentials or circumvent the process to gain access to systems. One example of this is MS14-068, which targets Kerberos and can be used to forge Kerberos tickets using domain user permissions. Exploitation for credential access may also result in Privilege Escalation depending on the process targeted or credentials obtained."
"Credential Access","technique","Forced Authentication",,"T1187","https://attack.mitre.org/techniques/T1187","Adversaries may gather credential material by invoking or forcing a user to automatically provide authentication information through a mechanism in which they can intercept."
"Credential Access","technique","Input Capture",,"T1056","https://attack.mitre.org/techniques/T1056","Adversaries may use methods of capturing user input to obtain credentials or collect information. During normal system usage, users often provide credentials to various different locations, such as login pages/portals or system dialog boxes. Input capture mechanisms may be transparent to the user (e.g. Credential API Hooking) or rely on deceiving the user into providing input into what they believe to be a genuine service (e.g. Web Portal Capture)."
"Credential Access","subtechnique","Input Capture","Keylogging","T1056.001","https://attack.mitre.org/techniques/T1056/001","Adversaries may log user keystrokes to intercept credentials as the user types them. Keylogging is likely to be used to acquire credentials for new access opportunities when OS Credential Dumping efforts are not effective, and may require an adversary to intercept keystrokes on a system for a substantial period of time before credentials can be successfully captured."
"Credential Access","subtechnique","Input Capture","GUI Input Capture","T1056.002","https://attack.mitre.org/techniques/T1056/002","Adversaries may mimic common operating system GUI components to prompt users for credentials with a seemingly legitimate prompt. When programs are executed that need additional privileges than are present in the current user context, it is common for the operating system to prompt the user for proper credentials to authorize the elevated privileges for the task (ex: Bypass User Access Control)."
"Credential Access","subtechnique","Input Capture","Web Portal Capture","T1056.003","https://attack.mitre.org/techniques/T1056/003","Adversaries may install code on externally facing portals, such as a VPN login page, to capture and transmit credentials of users who attempt to log into the service. For example, a compromised login page may log provided user credentials before logging the user in to the service."
"Credential Access","subtechnique","Input Capture","Credential API Hooking","T1056.004","https://attack.mitre.org/techniques/T1056/004","Adversaries may hook into Windows application programming interface (API) functions to collect user credentials. Malicious hooking mechanisms may capture API calls that include parameters that reveal user authentication credentials. Unlike Keylogging, this technique focuses specifically on API functions that include parameters that reveal user credentials. Hooking involves redirecting calls to these functions and can be implemented via hooks procedures ( intercept and execute designated code in response to events such as messages, keystrokes, and mouse inputs), import address table (IAT) hooking (use modifications to a process’s IAT, where pointers to imported API functions are stored), and inline hooking (overwrites the first bytes in an API function to redirect code flow)."
"Credential Access","technique","Man-in-the-Middle",,"T1557","https://attack.mitre.org/techniques/T1557","Adversaries may attempt to position themselves between two or more networked devices using a man-in-the-middle (MiTM) technique to support follow-on behaviors such as Network Sniffing or Transmitted Data Manipulation. By abusing features of common networking protocols that can determine the flow of network traffic (e.g. ARP, DNS, LLMNR, etc.), adversaries may force a device to communicate through an adversary controlled system so they can collect information or perform additional actions."
"Credential Access","subtechnique","Man-in-the-Middle","LLMNR/NBT-NS Poisoning and SMB Relay","T1557.001","https://attack.mitre.org/techniques/T1557/001","By responding to LLMNR/NBT-NS network traffic, adversaries may spoof an authoritative source for name resolution to force communication with an adversary controlled system. This activity may be used to collect or relay authentication materials."
"Credential Access","technique","Modify Authentication Process",,"T1556","https://attack.mitre.org/techniques/T1556","Adversaries may modify authentication mechanisms and processes to access user credentials or enable otherwise unwarranted access to accounts. The authentication process is handled by mechanisms, such as the Local Security Authentication Server (LSASS) process and the Security Accounts Manager (SAM) on Windows or pluggable authentication modules (PAM) on Unix-based systems, responsible for gathering, storing, and validating credentials. "
"Credential Access","subtechnique","Modify Authentication Process","Domain Controller Authentication","T1556.001","https://attack.mitre.org/techniques/T1556/001","Adversaries may patch the authentication process on a domain control to bypass the typical authentication mechanisms and enable access to accounts. "
"Credential Access","subtechnique","Modify Authentication Process","Password Filter DLL","T1556.002","https://attack.mitre.org/techniques/T1556/002","Adversaries may register malicious password filter dynamic link libraries (DLLs) into the authentication process to acquire user credentials as they are validated. "
"Credential Access","subtechnique","Modify Authentication Process","Pluggable Authentication Modules","T1556.003","https://attack.mitre.org/techniques/T1556/003","Adversaries may modify pluggable authentication modules (PAM) to access user credentials or enable otherwise unwarranted access to accounts. PAM is a modular system of configuration files, libraries, and executable files which guide authentication for many services. The most common authentication module is pam_unix.so, which retrieves, sets, and verifies account authentication information in /etc/passwd and /etc/shadow."
"Credential Access","technique","Network Sniffing",,"T1040","https://attack.mitre.org/techniques/T1040","Adversaries may sniff network traffic to capture information about an environment, including authentication material passed over the network. Network sniffing refers to using the network interface on a system to monitor or capture information sent over a wired or wireless connection. An adversary may place a network interface into promiscuous mode to passively access data in transit over the network, or use span ports to capture a larger amount of data."
"Credential Access","technique","OS Credential Dumping",,"T1003","https://attack.mitre.org/techniques/T1003","Adversaries may attempt to dump credentials to obtain account login and credential material, normally in the form of a hash or a clear text password, from the operating system and software. Credentials can then be used to perform Lateral Movement and access restricted information."
"Credential Access","subtechnique","OS Credential Dumping","LSASS Memory","T1003.001","https://attack.mitre.org/techniques/T1003/001","Adversaries may attempt to access credential material stored in the process memory of the Local Security Authority Subsystem Service (LSASS). After a user logs on, the system generates and stores a variety of credential materials in LSASS process memory. These credential materials can be harvested by an administrative user or SYSTEM and used to conduct Lateral Movement using Use Alternate Authentication Material."
"Credential Access","subtechnique","OS Credential Dumping","Security Account Manager","T1003.002","https://attack.mitre.org/techniques/T1003/002","Adversaries may attempt to extract credential material from the Security Account Manager (SAM) database either through in-memory techniques or through the Windows Registry where the SAM database is stored. The SAM is a database file that contains local accounts for the host, typically those found with the net user command. Enumerating the SAM database requires SYSTEM level access."
"Credential Access","subtechnique","OS Credential Dumping","NTDS","T1003.003","https://attack.mitre.org/techniques/T1003/003","Adversaries may attempt to access or create a copy of the Active Directory domain database in order to steal credential information, as well as obtain other information about domain members such as devices, users, and access rights. By default, the NTDS file (NTDS.dit) is located in %SystemRoot%\NTDS\Ntds.dit of a domain controller."
"Credential Access","subtechnique","OS Credential Dumping","LSA Secrets","T1003.004","https://attack.mitre.org/techniques/T1003/004","Adversaries with SYSTEM access to a host may attempt to access Local Security Authority (LSA) secrets, which can contain a variety of different credential materials, such as credentials for service accounts. LSA secrets are stored in the registry at HKEY_LOCAL_MACHINE\SECURITY\Policy\Secrets. LSA secrets can also be dumped from memory."
"Credential Access","subtechnique","OS Credential Dumping","Cached Domain Credentials","T1003.005","https://attack.mitre.org/techniques/T1003/005","Adversaries may attempt to access cached domain credentials used to allow authentication to occur in the event a domain controller is unavailable."
"Credential Access","subtechnique","OS Credential Dumping","DCSync","T1003.006","https://attack.mitre.org/techniques/T1003/006","Adversaries may attempt to access credentials and other sensitive information by abusing a Windows Domain Controller's application programming interface (API) to simulate the replication process from a remote domain controller using a technique called DCSync."
"Credential Access","subtechnique","OS Credential Dumping","Proc Filesystem","T1003.007","https://attack.mitre.org/techniques/T1003/007","Adversaries may gather credentials from information stored in the Proc filesystem or /proc. The Proc filesystem on Linux contains a great deal of information regarding the state of the running operating system. Processes running with root privileges can use this facility to scrape live memory of other running programs. If any of these programs store passwords in clear text or password hashes in memory, these values can then be harvested for either usage or brute force attacks, respectively."
